0,30
1,34
2,32
3,68
4,65
5,67
6,71
7,69
8,70
9,73
10,75
11,74
12,76
13,78
14,77
15,81
16,79
17,84
18,82
19,88
20,87
21,85
22,90
23,91
24,89
25,93
26,98
27,95
28,92
29,94
30,96
31,101
32,97
33,99
34,103
35,105
36,104
37,106
38,109
39,107
40,112
41,110
42,43
43,62
44,111
45,113
46,231
47,288
48,197
49,286
50,284
51,204
52,280
53,290
54,242
55,292
56,151
57,316
58,318
59,289
60,293
61,319
62,200
63,303
64,305
65,360
66,358
67,334
68,356
69,321
70,320
71,354
72,332
73,330
74,328
75,327
76,322
77,325
78,366
79,383
80,335
81,381
82,331
83,140
84,384
85,367
86,361
87,336
88,342
89,404
90,387
91,382
92,370
93,380
94,369
95,368
96,343
97,339
98,359
99,357
100,337
101,340
102,388
103,394
104,323
105,344
106,326
107,324
108,345
109,352
110,338
111,353
112,351
113,341
114,355
115,362
116,406
117,385
118,405
119,363
120,375
121,407
122,364
123,376
124,378
125,411
126,409
127,419
128,173
129,175
130,346
131,349
132,386
133,402
134,176
135,490
136,413
137,421
138,408
139,426
140,418
141,395
142,441
143,365
144,379
145,51
146,56
147,350
148,527
149,492
150,401
151,399
152,412
153,464
154,389
155,403
156,422
157,431
158,444
159,525
160,445
161,453
162,371
163,372
164,442
165,440
166,443
167,493
168,528
169,374
170,390
171,410
172,414
173,347
174,446
175,391
176,397
177,377
178,529
179,531
180,459
181,415
182,532
183,400
184,398
185,392
186,447
187,454
188,452
189,448
190,423
191,428
192,393
193,313
194,424
195,450
196,429
197,427
198,396
199,451
200,250
201,252
202,433
203,530
204,610
205,425
206,457
207,455
208,461
209,630
210,456
211,373
212,432
213,430
214,491
215,449
216,462
217,460
218,458
219,434
220,494
221,502
222,465
223,463
224,348
225,592
226,535
227,533
228,416
229,503
230,142
231,472
232,466
233,469
234,468
235,488
236,471
237,417
238,435
239,473
240,420
241,478
242,439
243,437
244,495
245,523
246,508
247,235
248,475
249,504
250,467
251,489
252,505
253,513
254,470
255,36
256,63
257,474
258,476
259,6
260,307
261,276
262,24
263,150
264,480
265,486
266,484
267,482
268,506
269,514
270,520
271,518
272,516
273,497
274,500
275,496
276,628
277,479
278,477
279,536
280,590
281,593
282,631
283,515
284,501
285,521
286,19
287,20
288,21
289,522
290,507
291,609
292,537
293,115
294,526
295,498
296,183
297,538
298,548
299,580
300,636
301,611
302,541
303,539
304,555
305,487
306,485
307,483
308,519
309,499
310,517
311,511
312,179
313,240
314,177
315,438
